type,checkpoint,prompt,response,time,mem_after,mem_before,consumed,model_parameters
beam_20,xlnet-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift",Gene rate a one - s ent ence description for each of the following people .  - Brack Obama  - El on Musk  - Taylor Swift   I s There a Ten - Per - Ten ence Description for Each of The Following People ?   The First Ten Per Per cent  ( Ten Per per cent ) is a ten per per cent ,286.7025878,8982593536,9307586560,324993024,116750336
beam_20,xlnet-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!""","Describe a situation in which the given stereotype can harm you .  "" All Asian s are smart ! ""   ' s the other side of the coin ? What if they ' re not smart ? How about they don ' t know what they do ? I s that what I ' m talking about ? Does that",257.8333707,8868335616,9210245120,341909504,116750336
beam_20,xlnet-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]","Gene rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ist of our workshop on multi mod ality at  CV PR . The workshop will be held on June 20 , 20 23 . Best , [ my name ]   you would be interested in participating in this workshop , please send me an email about your participation in the workshop . Good , you ' re very much welcome to join us on the panel ists ' panel .",245.3200045,8682733568,9121816576,439083008,116750336
beam_20,xlnet-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?,How do you answer this question in a job interview ? What do you think about when you are alone in a car ?   you know how you  se  en  a  cha  e ? How does you ask yourself if you feel like it is all that you question ? I s it all about how it feels like,281.2221675,9014804480,10256650240,1241845760,116750336
beam_20,xlnet-base-cased,Brainstorm a list of possible New Year's resolutions. ,"Brain storm a list of possible New Year ' s resolutions .   of thousands of them , and a number of of it that it is of a sort of  "" "" , "" and in the first instance of the new year ’ s resolution of whether or not it",231.4738224,5536690176,9282027520,3745337344,116750336
beam_20,xlnet-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep","Explain the following  idio m to me , and try to give me some examples . black sheep   tried to  ( ( over ) ) to ) apparently explain Explain Explain explained further by Explain ed Explain further further ed by apparently further explaining further in further directions by allegedly further ing further still by clearly further",254.6141872,8933801984,5581516800,-3352285184,116750336
beam_20,xlnet-base-cased,Generate a haiku using the following word: summer,"Gene rate a  hai ku using the following word : summer   should or should should be  ir  i  I  (  ) this this time in the in I am in my my in is I I ,  - - this is this in me in",220.0588639,8852246528,9114791936,262545408,116750336
beam_20,xlnet-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ,"Re com men d a movie for me to watch during the weekend and explain the reason .   me for you to talk to me on the internet or explain why I can not not  e  i   (  ) to say a  ""  - - to be in a group for",255.3329909,8674471936,9006358528,331886592,116750336
beam_10,xlnet-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? ","I s there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 calories ?   I  ( ( a ) ) , but does not include anything that isn ' s a  "" "" , so that it can be easily  dec dec red red , while still still maintaining its ",220.1059778,9149685760,10282721280,1133035520,116750336
beam_10,xlnet-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left,What is the relation between the given pairs ? Night  : Day  : : Right  : Left   I what I am what is it what it is that is what was it that it was that was upon upon me what if it were that which was in the name of the being that I was what,186.6250539,9055891456,9495412736,439521280,116750336
beam_10,xlnet-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift","Gene rate a one - s ent ence description for each of the following people .  - Brack Obama  - El on Musk  - Taylor Swift   Swift  ( The New York Times News Service )  "" The Swift Report is the Swift Profile . ""  .   The Fast Track to the Speed Profile is The Speed Report in the Fast Profile",196.2450633,8995856384,9307586560,311730176,116750336
beam_10,xlnet-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!""","Describe a situation in which the given stereotype can harm you .  "" All Asian s are smart ! ""   ' s a smart Asian ? What about you ? How about what about your friends ? Do you know what kind of Asian you are ? Are you in the same class as any of your other Asian friends",165.1662169,8999264256,9210499072,211234816,116750336
beam_10,xlnet-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]","Gene rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ist of our workshop on multi mod ality at  CV PR . The workshop will be held on June 20 , 20 23 . Best , [ my name ]   you would be interested to participate in the workshop at the next meeting of the board of directors . Good , you ' re very much welcome to join us in this workshop . I hope you were able to",195.9849114,8677085184,9122013184,444928000,116750336
beam_10,xlnet-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?,How do you answer this question in a job interview ? What do you think about when you are alone in a car ?   you know how you  se  en  a  cha  e  ee ee e ? How does you ask yourself how it  s me - you do not know where you end - how do,215.6745012,9153712128,10276196352,1122484224,116750336
beam_10,xlnet-base-cased,Brainstorm a list of possible New Year's resolutions. ,"Brain storm a list of possible New Year ' s resolutions .   ) ) , or new new New year s resolution , to point of point , point point - point - point  ( point point Point - Point - Point point point  Point Point point Point  -",174.4422278,9050169344,9282027520,231858176,116750336
beam_10,xlnet-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep","Explain the following  idio m to me , and try to give me some examples . black sheep   ) to it to be tried Explain Explain simply as I explain to you exactly what exactly exactly it is in the back of the pig . explain further in further explain explain just as well as as how exactly",183.5835619,8984326144,5600354304,-3383971840,116750336
beam_10,xlnet-base-cased,Generate a haiku using the following word: summer,"Gene rate a  hai ku using the following word : summer   should or should should be  ir  i  I  (  ) ) ( )  ,  -   .  :  ""  ;  !  ?  '  this ",147.4964206,8959524864,9114791936,155267072,116750336
beam_10,xlnet-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ,Re com men d a movie for me to watch during the weekend and explain the reason .   me for you to talk to me on the internet or explain why I am not being able to make a  re fr re  e  ee ee e a la  cher cher a cre me for,163.4974341,8657903616,9006616576,348712960,116750336
beam_15,xlnet-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? ","I s there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 calories ?   I  ( ( i ) ) , but does not include a minimum , so that it can be easier to get to a p . m . in a still - in - still - part s -",265.8339291,9076932608,10280681472,1203748864,116750336
beam_15,xlnet-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left,What is the relation between the given pairs ? Night  : Day  : : Right  : Left   I what I am what is it what it is that is what was it that it was that was in the name of what if was what and what what the was was which was at the time was,214.6778386,9129512960,9495412736,365899776,116750336
beam_15,xlnet-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift","Gene rate a one - s ent ence description for each of the following people .  - Brack Obama  - El on Musk  - Taylor Swift   Swift  ( The New York Times News Service )  "" The Swift Report is the Swift Profile . ""  .   The Fast , the Fast - The Fast Profile was the fast - the Fast",235.8748405,9087307776,9307586560,220278784,116750336
beam_15,xlnet-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!""","Describe a situation in which the given stereotype can harm you .  "" All Asian s are smart ! ""   ' s a smart Asian ? What is it that tells you that you ' re smart ? How do you tell it ? Why are you telling it to me ? I s it because I ' m smart",214.4581053,8858468352,9210499072,352030720,116750336
beam_15,xlnet-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]","Gene rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ist of our workshop on multi mod ality at  CV PR . The workshop will be held on June 20 , 20 23 . Best , [ my name ]   you would be interested in participating in this workshop , please send this email to me .    "" My name "" , my name is the name of the author of this article . I am writing",227.9783056,8687030272,9122013184,434982912,116750336
beam_15,xlnet-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?,"How do you answer this question in a job interview ? What do you think about when you are alone in a car ?   you know how to do this ? How about how you question yourself in an in - in - a - sa s s ion ion  ( e . g . , how about if you ask yourself how",258.912493,9067847680,10269978624,1202130944,116750336
beam_15,xlnet-base-cased,Brainstorm a list of possible New Year's resolutions. ,"Brain storm a list of possible New Year ' s resolutions .   ) ) , or new new year ’ s resolution list a number of potential New year resolutions possible , down the down to the end of the current year end  ( ) - - the up the the",210.0146315,9110048768,9282027520,171978752,116750336
beam_15,xlnet-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep","Explain the following  idio m to me , and try to give me some examples . black sheep   tried to  ( ( over ) ) to ) apparently explain Explain Explain explained further by Explain ed Explain further further ed by apparently further explaining further in further directions by allegedly further ing further still by clearly further",227.7387619,8996859904,5587709952,-3409149952,116750336
beam_15,xlnet-base-cased,Generate a haiku using the following word: summer,"Gene rate a  hai ku using the following word : summer   should or should should be  ir  i  I  (  ) this this time in the in  -   ,  this all this else , this is all else this  ven ",192.4611468,8881483776,9114791936,233308160,116750336
beam_15,xlnet-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ,Re com men d a movie for me to watch during the weekend and explain the reason .   me for you to talk to me on the internet or explain why I can not not  e  i  -   (  )  el  ref  re fr me a a d for,212.5736573,8702402560,9006358528,303955968,116750336
beam_5,bert-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? "," Is there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 ca ##lor ##ies ?  . "" "" . . a a ' ' s s t ##t ##t t t T T ##T ##T T t ##T t s S S N N T S T R R L L S L R S",40.88234997,8528306176,10311606272,1783300096,108340804
beam_5,bert-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left," What is the relation between the given pairs ? Night : Day : : Right : Left  . . and and . the the two two pair pair - - no no with with to to . , , where Where Where where where = = + + - + plus plus minus minus plus + =",33.81971097,8366047232,9044975616,678928384,108340804
beam_5,bert-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift"," Gene ##rate a one - sentence description for each of the following people . - B ##rack Obama - El ##on Mu ##sk - Taylor Swift  . and and . . a a - - word word term term , , in in In In . the the The The the is is was was is it it he he it what What What what what",37.12608433,8101339136,8740433920,639094784,108340804
beam_5,bert-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!"""," Des ##cribe a situation in which the given stereo ##type can harm you . "" All Asian ##s are smart ! ""  . . ' ' "" "" , , "" and and And And But But Yet Yet yet yet still still Still Still is is Is Is It It it what what What What what the the The The the",35.74763846,7940358144,8176594944,236236800,108340804
beam_5,bert-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]"," Gene ##rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ##ist of our workshop on multi ##mo ##dal ##ity at C ##VP ##R . The workshop will be held on June 20 , 202 ##3 . Best , [ my name ]  . . "" "" ' ' . ' "" . ... ... and And And The The the the a a and and . , , "" and "" to to me me I I is am am is is",39.11397147,7361720320,8274120704,912400384,108340804
beam_5,bert-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?," How do you answer this question in a job interview ? What do you think about when you are alone in a car ?  . "" "" . . and and And And But But "" I I is am am I me me is is was was I you you have have had had been been was is are are and what what",38.93434095,8537079808,10303348736,1766268928,108340804
beam_5,bert-base-cased,Brainstorm a list of possible New Year's resolutions. ," Brain ##storm a list of possible New Year ' s resolutions .  . . and and . the the The The ' ' . ... ... and And And But but but But But Yet Yet yet yet , , . but . "" "" . I I was was not not",33.00615382,8424747008,8324886528,-99860480,108340804
beam_5,bert-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep"," Ex ##plain the following id ##io ##m to me , and try to give me some examples . black sheep  . . and and And And Since Since since since for for For For To To to to the the The The In in in In In On On on on On Off Off off off away Away away away",33.59491873,8260530176,8519479296,258949120,108340804
beam_5,bert-base-cased,Generate a haiku using the following word: summer," Gene ##rate a ha ##ik ##u using the following word : summer  . . and and . , , and And And and ; ; . "" "" . a a - - ' ' . ... ... and "" , ; | | } } { { [ [ ' |",29.86309981,8234876928,8057905152,-176971776,108340804
beam_5,bert-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ," Re ##com ##men ##d a movie for me to watch during the weekend and explain the reason .  . "" "" . . and and "" , , "" it it is is was I I was was been been be be to to me me my my your your you you we we are are have have",31.45464802,7975124992,8013033472,37908480,108340804
beam_10,bert-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? "," Is there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 ca ##lor ##ies ?  . "" "" . . the the ' ' , , I I ' have have had had been been was was is is are are with with had has has s a a an an and and for for",51.47530222,8223584256,10310316032,2086731776,108340804
beam_10,bert-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left," What is the relation between the given pairs ? Night : Day : : Right : Left  . . and and . the the for for of of are are is is was was it it is be be have have had had has has had been been was got got get get , , let let",44.70767879,8186056704,9110216704,924160000,108340804
beam_10,bert-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift", Gene ##rate a one - sentence description for each of the following people . - B ##rack Obama - El ##on Mu ##sk - Taylor Swift  . . I I - - in In In in in the the The The A A B B C C G G E E e e i i I E W W V V T T S S T,47.89577937,7800074240,8838971392,1038897152,108340804
beam_10,bert-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!"""," Des ##cribe a situation in which the given stereo ##type can harm you . "" All Asian ##s are smart ! ""  . . ' ' "" , , "" "" and and And And In In in in a a A A E E C C G G F F S S L L R R G D D F G",43.71580362,7724720128,8209330176,484610048,108340804
beam_10,bert-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]"," Gene ##rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ##ist of our workshop on multi ##mo ##dal ##ity at C ##VP ##R . The workshop will be held on June 20 , 202 ##3 . Best , [ my name ]  . . "" "" ' ' . ' , , and and And And The The the the to to of of a a t t ] ) ) ] ] } } { { [ ( ( [ [",47.26090789,7683629056,8303202304,619573248,108340804
beam_10,bert-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?, How do you answer this question in a job interview ? What do you think about when you are alone in a car ?  . . and and And And But But but but But Yet yet yet is is it it what what What What Why Why Is Is is was I I was was when when When When Where Where Who Who,49.17975903,8314159104,10302574592,1988415488,108340804
beam_10,bert-base-cased,Brainstorm a list of possible New Year's resolutions. , Brain ##storm a list of possible New Year ' s resolutions .  . . and and . the the ' ' a A A B B C C S S R R M M G G L S L L R G H H E E H R H G R L,42.41562366,8247889920,8437481472,189591552,108340804
beam_10,bert-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep"," Ex ##plain the following id ##io ##m to me , and try to give me some examples . black sheep  . . "" "" , , I I ' ' t t to to you you he he was was is is was it what what be be have have had had have and and that that said said he",44.5459671,7922978816,8519479296,596500480,108340804
beam_10,bert-base-cased,Generate a haiku using the following word: summer," Gene ##rate a ha ##ik ##u using the following word : summer  . "" "" . . a a ' ' an an - - f f ##f ##f f F F "" ' "" , , ; ; | | } } { { ; f "" - + + -",39.84207487,7964319744,8089911296,125591552,108340804
beam_10,bert-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ," Re ##com ##men ##d a movie for me to watch during the weekend and explain the reason .  . "" . . and and "" "" , , "" it it is is was was I I is am am I me me my my your your you you we we are are were were was were and",41.6198473,7605919744,8013033472,407113728,108340804
beam_15,bert-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? "," Is there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 ca ##lor ##ies ?  . "" "" . . a a ' ' s s t t T T N N R R W W S S R L L S W R S L R M M H H T S H L",59.05485296,8018792448,10308251648,2289459200,108340804
beam_15,bert-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left, What is the relation between the given pairs ? Night : Day : : Right : Left  . . the the other other to to and and And And But But but but if If if if it it was was is is was he he it what what What What When When Before Before before before,48.38975286,8154013696,9142272000,988258304,108340804
beam_15,bert-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift", Gene ##rate a one - sentence description for each of the following people . - B ##rack Obama - El ##on Mu ##sk - Taylor Swift  . . I I - - in in the the to to of of a a ' ' s s t t T T ##T ##T t ##t ##t t r r ##r ##r e e i i u u,55.77419138,7691214848,8838971392,1147756544,108340804
beam_15,bert-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!"""," Des ##cribe a situation in which the given stereo ##type can harm you . "" All Asian ##s are smart ! ""  . . I I "" "" , , "" and and And And In in in a a an an ' ' s s t t T T S S N N R R L L T L S L",51.74613333,8017502208,8306851840,289349632,108340804
beam_15,bert-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]"," Gene ##rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ##ist of our workshop on multi ##mo ##dal ##ity at C ##VP ##R . The workshop will be held on June 20 , 202 ##3 . Best , [ my name ]  . . "" "" and and And And The The the the ' ' s s t t r r ] ] ) ) ] } } { { [ [ ( ( ; ; | | < < [",51.12653875,7448850432,8388259840,939409408,108340804
beam_15,bert-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?," How do you answer this question in a job interview ? What do you think about when you are alone in a car ?  . "" . ... ... and and And And "" "" , , "" I I is am am I me me is is he he was was you you me are are who who he him him that that",56.36569381,8103092224,10301026304,2197934080,108340804
beam_15,bert-base-cased,Brainstorm a list of possible New Year's resolutions. , Brain ##storm a list of possible New Year ' s resolutions .  . . and and . the the The The ' ' a a - - do do did did had have have had had with with to to it it was was is was I I me me my my,49.39182758,8199569408,8543043584,343474176,108340804
beam_15,bert-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep"," Ex ##plain the following id ##io ##m to me , and try to give me some examples . black sheep  . . the the ' ' s s t t T T ##T ##T t r r R R W W S S P P U U L L R L S R M M T S N N S",54.32255697,7794212864,8519479296,725266432,108340804
beam_15,bert-base-cased,Generate a haiku using the following word: summer," Gene ##rate a ha ##ik ##u using the following word : summer  . "" "" . . a a ' ' s s t t - - w w W W T T S S N N U U u u l l r r R R L L H H L",46.58133245,7804436480,8122441728,318005248,108340804
beam_15,bert-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ," Re ##com ##men ##d a movie for me to watch during the weekend and explain the reason .  . "" . . and and "" "" , , "" I I ' ' m m a a an an t t c c s s l l r r e e i i u u l v v",49.92064023,7406759936,8013033472,606273536,108340804
beam_20,bert-base-cased,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? "," Is there anything I can eat for a breakfast that doesn ' t include eggs , yet includes protein , and has roughly 700 - 1000 ca ##lor ##ies ?  . "" "" . . the the a a ' ' s s t t h h H h t T T t l l r r g g G G H H L L S S R R L",65.44410682,8699572224,10308509696,1608937472,108340804
beam_20,bert-base-cased,What is the relation between the given pairs? Night : Day :: Right : Left, What is the relation between the given pairs ? Night : Day : : Right : Left  . . the the and and of of are are is is was was he he it it is be be have have has has had had been been was were were are were they they we we that that,53.38768864,8434380800,9142272000,707891200,108340804
beam_20,bert-base-cased,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift", Gene ##rate a one - sentence description for each of the following people . - B ##rack Obama - El ##on Mu ##sk - Taylor Swift  . . I I - - in in the the to to of of a a ' ' s s t t T T ##T ##T t r r R R W W S S R L L S L,61.94355822,8083615744,8838971392,755355648,108340804
beam_20,bert-base-cased,"Describe a situation in which the given stereotype can harm you. ""All Asians are smart!"""," Des ##cribe a situation in which the given stereo ##type can harm you . "" All Asian ##s are smart ! ""  . . ' ' , , "" "" and and And And But but but But But Not Not not not to to you you are are is is it it was was been been be be have had had",60.12760425,7985295360,8350437376,365142016,108340804
beam_20,bert-base-cased,"Generate an appropriate subjective title for the following email: Hi [person name],

I'm writing to ask you if you are happy to be a panelist of our workshop on multimodality at CVPR. The workshop will be held on June 20, 2023. 

Best,
[my name]"," Gene ##rate an appropriate subjective title for the following email : Hi [ person name ] , I ' m writing to ask you if you are happy to be a panel ##ist of our workshop on multi ##mo ##dal ##ity at C ##VP ##R . The workshop will be held on June 20 , 202 ##3 . Best , [ my name ]  . . "" "" I I is am am m m ' ' t t s s S S T T C C G G R R M M N N H H W W S P P E E",54.94802451,7330959360,8388259840,1057300480,108340804
beam_20,bert-base-cased,How do you answer this question in a job interview? What do you think about when you are alone in a car?, How do you answer this question in a job interview ? What do you think about when you are alone in a car ?  . . and And And What what what What What Are are Are Are You You you you believe believe are are is is was I I was was who who me me did did do do did and and,62.67540407,7913385984,10298445824,2385059840,108340804
beam_20,bert-base-cased,Brainstorm a list of possible New Year's resolutions. , Brain ##storm a list of possible New Year ' s resolutions .  . . and and the the ' ' a A A B B C C S S R R M M G G H H E E S L L S F F P P E H G F G,51.97276282,8192352256,8542556160,350203904,108340804
beam_20,bert-base-cased,"Explain the following idiom to me, and try to give me some examples. black sheep"," Ex ##plain the following id ##io ##m to me , and try to give me some examples . black sheep  . . the the ' ' s s t t T T ##T ##T t r r R R W W S S N N U U Y Y L L S R M M T S L R L",60.26135254,7712448512,8519479296,807030784,108340804
beam_20,bert-base-cased,Generate a haiku using the following word: summer," Gene ##rate a ha ##ik ##u using the following word : summer  . "" "" . . a a ' ' s s t t T T S S R R U U u u l l L L S N N H H T R L R S T L l",51.33299875,7659749376,8131653632,471904256,108340804
beam_20,bert-base-cased,Recommend a movie for me to watch during the weekend and explain the reason. ," Re ##com ##men ##d a movie for me to watch during the weekend and explain the reason .  . "" "" . . but but But But . I I was was never never Never Never and and And And and "" , , that that said said you you was were a a ' ' s s",57.46687126,7266136064,8013033472,746897408,108340804
beam_5,bigscience/bloom-560m,"Is there anything I can eat for a breakfast that doesn't include eggs, yet includes protein, and has roughly 700-1000 calories? ","Is  there  anything  I  can  eat  for  a  breakfast  that  doesn't  include  eggs ,  yet  includes  protein ,  and  has  roughly  700 -1000  cal ories ?   If  so ,  what  is  the  best  way  to  make  it ?

 A: 

 If  you  want  to  add  protein  to  your  breakfast ,  you  can  use  a  low -f at ,  low -g lyc emic  protein  breakfast  cereal .",168.9001193,3387199488,6788022272,3400822784,559214592
beam_5,bigscience/bloom-560m,What is the relation between the given pairs? Night : Day :: Right : Left,"What  is  the  relation  between  the  given  pairs ?  Night  :  Day  ::  Right  :  Left  ::  Left  :  Right  ::  Night  ::  Day 
 I  want  to  know  if  there  is  a  way  to  do  this .  I  have  a  list  of  pairs  and  I  would  like  to  add  a  new  pair  to  the  list",158.7386534,2618384384,2804293632,185909248,559214592
beam_5,bigscience/bloom-560m,"Generate a one-sentence description for each of the following people. - Brack Obama
- Elon Musk
- Taylor Swift","Generate  a  one -s ent ence  description  for  each  of  the  following  people .  -  Br ack  Obama 
 -  Elon  Musk 
 -  Taylor  Swift 
 The  first  sentence  describes  the  person ,  the  second  the  action ,  and  the  third  the  result .  The  third  sentence  is  optional  and  can  be  used  to  describe  any  other  person  or  action .  For  example ,  if",171.6864533,3313020928,6508515328,3195494400,559214592
